Time (s),Current (mA)
0.005,4.498
0.010,4.491
0.015,4.475
0.020,4.450
0.025,4.414
0.030,4.368
0.035,4.312
0.040,4.246
0.045,4.172
0.050,4.089
0.055,3.999
0.060,3.903
0.065,3.801
0.070,3.695
0.075,3.585
0.080,3.472
0.085,3.359
0.090,3.246
0.095,3.134
0.100,3.024
0.105,2.919
0.110,2.817
0.115,2.721
0.120,2.632
0.125,2.550
0.130,2.477
0.135,2.413
0.140,2.360
0.145,2.317
0.150,2.285
0.155,2.264
0.160,2.253
0.165,2.253
0.170,2.263
0.175,2.283
0.180,2.313
0.185,2.353
0.190,2.401
0.195,2.457
0.200,2.521
0.205,2.592
0.210,2.668
0.215,2.750
0.220,2.835
0.225,2.923
0.230,3.012
0.235,3.102
0.240,3.190
0.245,3.277
0.250,3.360
0.255,3.439
0.260,3.511
0.265,3.575
0.270,3.631
0.275,3.676
0.280,3.711
0.285,3.734
0.290,3.744
0.295,3.741
0.300,3.723
0.305,3.691
0.310,3.644
0.315,3.582
0.320,3.506
0.325,3.415
0.330,3.310
0.335,3.191
0.340,3.059
0.345,2.916
0.350,2.761
0.355,2.597
0.360,2.424
0.365,2.243
0.370,2.056
0.375,1.864
0.380,1.668
0.385,1.470
0.390,1.272
0.395,1.074
0.400,0.880
0.405,0.690
0.410,0.505
0.415,0.328
0.420,0.159
0.425,-0.001
0.430,-0.150
0.435,-0.287
0.440,-0.413
0.445,-0.525
0.450,-0.623
0.455,-0.706
0.460,-0.774
0.465,-0.826
0.470,-0.862
0.475,-0.882
0.480,-0.887
0.485,-0.876
0.490,-0.850
0.495,-0.810
0.500,-0.755
0.505,-0.687
0.510,-0.607
0.515,-0.515
0.520,-0.413
0.525,-0.303
0.530,-0.185
0.535,-0.061
0.540,0.068
0.545,0.201
0.550,0.338
0.555,0.477
0.560,0.618
0.565,0.757
0.570,0.893
0.575,1.026
0.580,1.152
0.585,1.270
0.590,1.378
0.595,1.474
0.600,1.558
0.605,1.627
0.610,1.681
0.615,1.718
0.620,1.738
0.625,1.741
0.630,1.725
0.635,1.693
0.640,1.643
0.645,1.577
0.650,1.496
0.655,1.401
0.660,1.293
0.665,1.173
0.670,1.042
0.675,0.902
0.680,0.754
0.685,0.599
0.690,0.438
0.695,0.274
0.700,0.106
0.705,-0.063
0.710,-0.230
0.715,-0.395
0.720,-0.555
0.725,-0.710
0.730,-0.857
0.735,-0.994
0.740,-1.119
0.745,-1.231
0.750,-1.329
0.755,-1.411
0.760,-1.475
0.765,-1.521
0.770,-1.547
0.775,-1.552
0.780,-1.536
0.785,-1.499
0.790,-1.442
0.795,-1.365
0.800,-1.269
0.805,-1.155
0.810,-1.024
0.815,-0.878
0.820,-0.718
0.825,-0.547
0.830,-0.366
0.835,-0.177
0.840,0.019
0.845,0.222
0.850,0.430
0.855,0.641
0.860,0.852
0.865,1.061
0.870,1.267
0.875,1.465
0.880,1.655
0.885,1.832
0.890,1.996
0.895,2.146
0.900,2.278
0.905,2.392
0.910,2.485
0.915,2.556
0.920,2.605
0.925,2.631
0.930,2.633
0.935,2.610
0.940,2.563
0.945,2.492
0.950,2.398
0.955,2.281
0.960,2.142
0.965,1.982
0.970,1.802
0.975,1.603
0.980,1.388
0.985,1.156
0.990,0.910
0.995,0.651
1.000,0.380
1.005,0.100
1.010,-0.191
1.015,-0.489
1.020,-0.789
1.025,-1.089
1.030,-1.385
1.035,-1.674
1.040,-1.954
1.045,-2.221
1.050,-2.473
1.055,-2.706
1.060,-2.918
1.065,-3.106
1.070,-3.268
1.075,-3.404
1.080,-3.512
1.085,-3.589
1.090,-3.636
1.095,-3.651
1.100,-3.634
1.105,-3.586
1.110,-3.506
1.115,-3.395
1.120,-3.253
1.125,-3.082
1.130,-2.883
1.135,-2.658
1.140,-2.408
1.145,-2.137
1.150,-1.846
1.155,-1.538
1.160,-1.216
1.165,-0.883
1.170,-0.540
1.175,-0.191
1.180,0.160
1.185,0.512
1.190,0.862
1.195,1.206
1.200,1.542
1.205,1.867
1.210,2.176
1.215,2.467
1.220,2.736
1.225,2.980
1.230,3.196
1.235,3.382
1.240,3.535
1.245,3.653
1.250,3.734
1.255,3.778
1.260,3.784
1.265,3.753
1.270,3.684
1.275,3.578
1.280,3.437
1.285,3.262
1.290,3.055
1.295,2.818
1.300,2.553
1.305,2.261
1.310,1.944
1.315,1.604
1.320,1.244
1.325,0.866
1.330,0.474
1.335,0.071
1.340,-0.339
1.345,-0.751
1.350,-1.160
1.355,-1.562
1.360,-1.952
1.365,-2.327
1.370,-2.682
1.375,-3.014
1.380,-3.320
