Time (s),Current (mA)
0.0,0.02019
0.001252,0.019946
0.002503,0.020264
0.003755,0.020605
0.005006,0.019897
0.006258,0.042871
0.007509,0.033813
0.008761,0.027881
0.010013,0.024146
0.011264,0.020215
0.012516,0.019824
0.013767,0.019824
0.015019,0.020093
0.01627,0.019238
0.017522,0.019312
0.018773,0.019775
0.020025,0.019604
0.021277,0.020117
0.022528,0.019629
0.02378,0.019434
0.025031,0.020581
0.026283,0.019922
0.027534,0.02002
0.028786,0.019434
0.030038,0.019775
0.031289,0.020044
0.032541,0.019531
0.033792,0.020142
0.035044,0.019751
0.036295,0.019873
0.037547,0.019751
0.038798,0.020752
0.04005,0.019995
0.041302,0.01958
0.042553,0.020337
0.043805,0.019507
0.045056,0.020093
0.046308,0.019214
0.047559,0.019458
0.048811,0.020068
0.050063,0.01543
0.051314,0.011548
0.052566,0.008691
0.053817,0.006543
0.055069,0.004541
0.05632,0.003687
0.057572,0.00293
0.058824,0.002881
0.060075,0.0021
0.061327,0.000903
0.062578,0.001465
0.06383,0.000952
0.065081,0.000684
0.066333,0.001099
0.067584,0.001172
0.068836,0.001074
0.070088,0.021167
0.071339,0.012451
0.072591,0.007568
0.073842,0.004883
0.075094,0.002612
0.076345,0.000464
0.077597,7.3e-05
0.078849,4.9e-05
0.0801,0.00083
0.081352,0.00105
0.082603,0.000488
0.083855,0.000903
0.085106,0.000659
0.086358,0.000244
0.08761,0.000659
0.088861,0.001123
0.090113,0.000488
0.091364,0.001123
0.092616,0.0
0.093867,0.00083
0.095119,0.000537
0.09637,0.000391
0.097622,0.000537
0.098874,0.0
0.100125,0.005298
0.101377,0.00918
0.102628,0.012354
0.10388,0.013623
0.105131,0.015039
0.106383,0.016333
0.107635,0.017773
0.108886,0.018188
0.110138,0.018335
0.111389,0.019116
0.112641,0.019214
0.113892,0.019775
0.115144,0.019263
0.116395,0.019531
0.117647,0.01958
0.118899,0.019214
0.12015,0.019971
0.121402,0.019995
0.122653,0.019922
0.123905,0.019849
0.125156,0.019385
0.126408,0.0198
0.12766,0.019849
0.128911,0.019653
0.130163,0.019922
0.131414,0.020142
0.132666,0.020752
0.133917,0.020068
0.135169,0.020093
0.136421,0.019971
0.137672,0.019238
0.138924,0.019995
0.140175,0.02002
0.141427,0.020996
0.142678,0.019922
0.14393,0.020117
0.145181,0.019995
0.146433,0.019531
0.147685,0.020459
0.148936,0.020312
0.150188,0.01543
0.151439,0.011108
0.152691,0.009277
0.153942,0.006104
0.155194,0.005371
0.156446,0.004858
0.157697,0.00271
0.158949,0.002222
0.1602,0.002002
0.161452,0.001392
0.162703,0.000708
0.163955,0.001147
0.165207,0.000537
0.166458,0.001025
0.16771,0.000391
0.168961,0.001318
0.170213,0.03501
0.171464,0.000488
0.172716,0.000903
0.173967,7.3e-05
0.175219,0.000635
0.176471,0.00105
0.177722,0.0
0.178974,0.000586
0.180225,0.00061
0.181477,0.00083
0.182728,2.4e-05
0.18398,0.0
0.185232,0.000708
0.186483,0.00061
0.187735,0.00061
0.188986,0.000635
0.190238,0.00022
0.191489,0.000586
0.192741,0.00061
0.193992,0.00022
0.195244,0.001245
0.196496,0.000684
0.197747,2.4e-05
0.198999,0.000757
0.20025,0.00498
0.201502,0.009351
0.202753,0.012231
0.204005,0.013501
0.205257,0.015747
0.206508,0.016699
0.20776,0.0354
0.209011,0.028955
0.210263,0.024268
0.211514,0.021948
0.212766,0.018823
0.214018,0.019067
0.215269,0.019507
0.216521,0.0198
0.217772,0.019849
0.219024,0.020142
0.220275,0.019849
0.221527,0.020483
0.222778,0.0198
0.22403,0.021021
0.225282,0.020215
0.226533,0.044141
0.227785,0.033618
0.229036,0.020166
0.230288,0.019897
0.231539,0.020264
0.232791,0.02019
0.234043,0.019971
0.235294,0.019653
0.236546,0.019385
0.237797,0.019824
0.239049,0.020337
0.2403,0.020093
0.241552,0.019507
0.242804,0.020068
0.244055,0.020142
0.245307,0.019653
0.246558,0.020068
0.24781,0.02002
0.249061,0.019531
0.250313,0.015259
0.251564,0.011694
0.252816,0.009155
0.254068,0.00708
0.255319,0.004565
0.256571,0.003589
0.257822,0.00332
0.259074,0.002661
0.260325,0.002173
0.261577,0.003149
0.262829,0.001562
0.26408,0.001562
0.265332,0.001343
0.266583,0.001099
0.267835,0.000635
0.269086,0.001001
0.270338,0.000342
0.271589,0.000513
0.272841,0.000391
0.274093,0.000586
0.275344,0.001465
0.276596,0.0
0.277847,0.000806
0.279099,0.0
0.28035,0.000317
0.281602,0.000952
0.282854,0.000537
0.284105,7.3e-05
0.285357,0.00022
0.286608,0.000781
0.28786,0.00022
0.289111,0.000586
0.290363,0.000513
0.291615,0.000244
0.292866,0.001367
0.294118,0.000757
0.295369,0.0
0.296621,0.000586
0.297872,0.000244
0.299124,0.00083
0.300375,0.005054
0.301627,0.008984
0.302879,0.011987
0.30413,0.014185
0.305382,0.014893
0.306633,0.016406
0.307885,0.017212
0.309136,0.017798
0.310388,0.019238
0.31164,0.019067
0.312891,0.018677
0.314143,0.019751
0.315394,0.020386
0.316646,0.020068
0.317897,0.019141
0.319149,0.019604
0.320401,0.020361
0.321652,0.019604
0.322904,0.020093
0.324155,0.020239
0.325407,0.01958
0.326658,0.019946
0.32791,0.018677
0.329161,0.01958
0.330413,0.019873
0.331665,0.019482
0.332916,0.020654
0.334168,0.019434
0.335419,0.036646
0.336671,0.020044
0.337922,0.020581
0.339174,0.019434
0.340426,0.020459
0.341677,0.019995
0.342929,0.019604
0.34418,0.02019
0.345432,0.020068
0.346683,0.019751
0.347935,0.02002
0.349186,0.037451
0.350438,0.025269
0.35169,0.017529
0.352941,0.009351
0.354193,0.006177
0.355444,0.005981
0.356696,0.003198
0.357947,0.003052
0.359199,0.002686
0.360451,0.002075
0.361702,0.001343
0.362954,0.001245
0.364205,0.01333
0.365457,0.007837
0.366708,0.005273
0.36796,0.003247
0.369212,0.000415
0.370463,0.001001
0.371715,0.000732
0.372966,0.000903
0.374218,0.000806
0.375469,0.00022
0.376721,0.000317
0.377972,0.00083
0.379224,0.000757
0.380476,0.000513
0.381727,0.000562
0.382979,0.001025
0.38423,0.000269
0.385482,0.000732
0.386733,0.000415
0.387985,0.000415
0.389237,0.000952
0.390488,0.00083
0.39174,0.00083
0.392991,0.020361
0.394243,0.011621
0.395494,0.007153
0.396746,0.004028
0.397997,0.000635
0.399249,0.000439
0.400501,0.00542
0.401752,0.009277
0.403004,0.01145
0.404255,0.014673
0.405507,0.014966
0.406758,0.01604
0.40801,0.017871
0.409262,0.018359
0.410513,0.018774
0.411765,0.019165
0.413016,0.019165
0.414268,0.019019
0.415519,0.019556
0.416771,0.019385
0.418023,0.020142
0.419274,0.019751
0.420526,0.019531
0.421777,0.019751
0.423029,0.020093
0.42428,0.019702
0.425532,0.019629
0.426783,0.020068
0.428035,0.020068
0.429287,0.019775
0.430538,0.0198
0.43179,0.020093
0.433041,0.019409
0.434293,0.019434
0.435544,0.019702
0.436796,0.019922
0.438048,0.020117
0.439299,0.020581
0.440551,0.020337
0.441802,0.019946
0.443054,0.019995
0.444305,0.019604
0.445557,0.019995
0.446809,0.019873
0.44806,0.020117
0.449312,0.019678
0.450563,0.015332
0.451815,0.012085
0.453066,0.008691
0.454318,0.006836
0.455569,0.005396
0.456821,0.003809
0.458073,0.003198
0.459324,0.002466
0.460576,0.002002
0.461827,0.001294
0.463079,0.001343
0.46433,0.001318
0.465582,0.001538
0.466834,0.001221
0.468085,0.001611
0.469337,0.000391
0.470588,0.001001
0.47184,0.000684
0.473091,0.001465
0.474343,0.000244
0.475594,0.00022
0.476846,0.000293
0.478098,0.0
0.479349,0.000317
0.480601,0.00022
0.481852,0.000562
0.483104,0.000635
0.484355,0.001245
0.485607,0.000879
0.486859,0.000269
0.48811,0.000146
0.489362,0.000708
0.490613,0.037183
0.491865,0.022583
0.493116,0.000977
0.494368,0.000317
0.49562,0.0
0.496871,0.00105
0.498123,0.000464
0.499374,0.001001
0.500626,0.004736
0.501877,0.008789
0.503129,0.011768
0.50438,0.013843
0.505632,0.015186
0.506884,0.016772
0.508135,0.016968
0.509387,0.017993
0.510638,0.018579
0.51189,0.019116
0.513141,0.019458
0.514393,0.018921
0.515645,0.018921
0.516896,0.020166
0.518148,0.019873
0.519399,0.019507
0.520651,0.020483
0.521902,0.019946
0.523154,0.020386
0.524406,0.019971
0.525657,0.020776
0.526909,0.020679
0.52816,0.019873
0.529412,0.020361
0.530663,0.020239
0.531915,0.020532
0.533166,0.019604
0.534418,0.020264
0.53567,0.02041
0.536921,0.019287
0.538173,0.019531
0.539424,0.019189
0.540676,0.019897
0.541927,0.020288
0.543179,0.020605
0.544431,0.02002
0.545682,0.020654
0.546934,0.019458
0.548185,0.019312
0.549437,0.019971
0.550688,0.015283
0.55194,0.01145
0.553191,0.00791
0.554443,0.006641
0.555695,0.004614
0.556946,0.004248
0.558198,0.003247
0.559449,0.002075
0.560701,0.001758
0.561952,0.001172
0.563204,0.001294
0.564456,0.001489
0.565707,0.000562
0.566959,0.00105
0.56821,0.000537
0.569462,0.000366
0.570713,0.00061
0.571965,0.000195
0.573217,0.000366
0.574468,7.3e-05
0.57572,0.001343
0.576971,0.000537
0.578223,0.000244
0.579474,0.00061
0.580726,0.000464
0.581977,0.000415
0.583229,0.000757
0.584481,0.000806
0.585732,0.000293
0.586984,0.000269
0.588235,0.000391
0.589487,0.0
0.590738,0.0
0.59199,0.00105
0.593242,0.001147
0.594493,0.000391
0.595745,0.000732
0.596996,0.000635
0.598248,0.001733
0.599499,0.000952
0.600751,0.005322
0.602003,0.008643
0.603254,0.011133
0.604506,0.013916
0.605757,0.015063
0.607009,0.015967
0.60826,0.017139
0.609512,0.017627
0.610763,0.019214
0.612015,0.019263
0.613267,0.019165
0.614518,0.019971
0.61577,0.019556
0.617021,0.019312
0.618273,0.020337
0.619524,0.02002
0.620776,0.019434
0.622028,0.019824
0.623279,0.019556
0.624531,0.019385
0.625782,0.020312
0.627034,0.020728
0.628285,0.019409
0.629537,0.020215
0.630788,0.019727
0.63204,0.0198
0.633292,0.019751
0.634543,0.019653
0.635795,0.02002
0.637046,0.019653
0.638298,0.020117
0.639549,0.019971
0.640801,0.019897
0.642053,0.019629
0.643304,0.019775
0.644556,0.020312
0.645807,0.02019
0.647059,0.019604
